local_file,expected_vendor,source_url
ios_batfish_as1border1.cfg,cisco_ios,https://raw.githubusercontent.com/batfish/batfish/master/networks/example/live/configs/as1border1.cfg
ios_batfish_as2dept1.cfg,cisco_ios,https://raw.githubusercontent.com/batfish/batfish/master/networks/example/live/configs/as2dept1.cfg
ios_batfish_as3border1.cfg,cisco_ios,https://raw.githubusercontent.com/batfish/batfish/master/networks/example/live/configs/as3border1.cfg
ios_batfish_as2dist1.cfg,cisco_ios,https://raw.githubusercontent.com/batfish/batfish/master/networks/example/live/configs/as2dist1.cfg
junos_batfish_topo_r1.conf,juniper_junos,https://raw.githubusercontent.com/batfish/batfish/master/projects/batfish/src/test/resources/org/batfish/grammar/juniper/testrigs/topology/configs/r1
junos_batfish_topo_r2.conf,juniper_junos,https://raw.githubusercontent.com/batfish/batfish/master/projects/batfish/src/test/resources/org/batfish/grammar/juniper/testrigs/topology/configs/r2
junos_batfish_tc_juniper-login-class.conf,juniper_junos,https://raw.githubusercontent.com/batfish/batfish/master/projects/batfish/src/test/resources/org/batfish/grammar/juniper/testconfigs/juniper-login-class
junos_batfish_tc_juniper-syslog.conf,juniper_junos,https://raw.githubusercontent.com/batfish/batfish/master/projects/batfish/src/test/resources/org/batfish/grammar/juniper/testconfigs/juniper-syslog
junos_batfish_tc_system-services-ssh.conf,juniper_junos,https://raw.githubusercontent.com/batfish/batfish/master/projects/batfish/src/test/resources/org/batfish/grammar/juniper/testconfigs/system-services-ssh
junos_batfish_tc_ntp.conf,juniper_junos,https://raw.githubusercontent.com/batfish/batfish/master/projects/batfish/src/test/resources/org/batfish/grammar/juniper/testconfigs/ntp
junos_batfish_tc_snmp.conf,juniper_junos,https://raw.githubusercontent.com/batfish/batfish/master/projects/batfish/src/test/resources/org/batfish/grammar/juniper/testconfigs/snmp
eos_hpe_sample.txt,arista_eos,https://raw.githubusercontent.com/HPENetworking/HPEIMCUtils/master/DeviceAdapters/Arista%20Networks/arista%20sample%20config.txt
eos_netdevops_switch1.txt,arista_eos,https://raw.githubusercontent.com/arista-netdevops-community/arista_eos_automation_with_eAPI/master/config/switch1.txt
eos_netdevops_switch2.txt,arista_eos,https://raw.githubusercontent.com/arista-netdevops-community/arista_eos_automation_with_eAPI/master/config/switch2.txt
eos_netdevops_switch3.txt,arista_eos,https://raw.githubusercontent.com/arista-netdevops-community/arista_eos_automation_with_eAPI/master/config/switch3.txt
sonic_metalstack_1.json,sonic,https://raw.githubusercontent.com/metal-stack/sonic-configdb-utils/master/tests/1/expected.json
sonic_metalstack_2.json,sonic,https://raw.githubusercontent.com/metal-stack/sonic-configdb-utils/master/tests/2/expected.json
sonic_metalstack_3.json,sonic,https://raw.githubusercontent.com/metal-stack/sonic-configdb-utils/master/tests/3/expected.json
sonic_metalstack_4.json,sonic,https://raw.githubusercontent.com/metal-stack/sonic-configdb-utils/master/tests/4/expected.json
sonic_metalstack_5.json,sonic,https://raw.githubusercontent.com/metal-stack/sonic-configdb-utils/master/tests/5/expected.json
fortios_batfish_firewall_policy.conf,fortinet_fortios,https://raw.githubusercontent.com/batfish/batfish/master/projects/batfish/src/test/resources/org/batfish/grammar/fortios/testconfigs/firewall_policy
fortios_batfish_iface.conf,fortinet_fortios,https://raw.githubusercontent.com/batfish/batfish/master/projects/batfish/src/test/resources/org/batfish/grammar/fortios/testconfigs/iface
fortios_batfish_service_custom.conf,fortinet_fortios,https://raw.githubusercontent.com/batfish/batfish/master/projects/batfish/src/test/resources/org/batfish/grammar/fortios/testconfigs/service_custom
fortios_batfish_fortios_ignored.conf,fortinet_fortios,https://raw.githubusercontent.com/batfish/batfish/master/projects/batfish/src/test/resources/org/batfish/grammar/fortios/testconfigs/fortios_ignored
